account_id,date,csm,pulse_score,notes
ACC001,2026-04-21,M. Okafor,3,Nothing escalated this cycle; holding pattern continues.
ACC001,2026-05-12,M. Okafor,3,No major news either way; steady but unremarkable usage.
ACC001,2026-06-02,M. Okafor,3,Nothing escalated this cycle; holding pattern continues.
ACC002,2026-04-21,R. Mehta,3,No major news either way; steady but unremarkable usage.
ACC002,2026-05-12,R. Mehta,3,Champion responsive but engagement is mostly transactional.
ACC002,2026-06-02,R. Mehta,3,No major news either way; steady but unremarkable usage.
ACC003,2026-04-21,A. Diallo,4,Champion proactively shared a positive internal usage report.
ACC003,2026-05-12,A. Diallo,3,Champion responsive but engagement is mostly transactional.
ACC003,2026-06-02,A. Diallo,2,Open ticket backlog is creating visible friction with clinicians.
ACC004,2026-04-21,A. Diallo,3,Nothing escalated this cycle; holding pattern continues.
ACC004,2026-05-12,A. Diallo,4,"Stable relationship, regular cadence maintained without issues."
ACC004,2026-06-02,A. Diallo,3,No major news either way; steady but unremarkable usage.
ACC005,2026-04-21,R. Mehta,4,Champion proactively shared a positive internal usage report.
ACC005,2026-05-12,R. Mehta,4,Champion proactively shared a positive internal usage report.
ACC005,2026-06-02,R. Mehta,4,Champion proactively shared a positive internal usage report.
ACC006,2026-04-21,M. Okafor,2,Frustration with support response times raised again this week.
ACC006,2026-05-12,M. Okafor,2,Open ticket backlog is creating visible friction with clinicians.
ACC006,2026-06-02,M. Okafor,3,No major news either way; steady but unremarkable usage.
ACC007,2026-04-21,A. Diallo,3,No major news either way; steady but unremarkable usage.
ACC007,2026-05-12,A. Diallo,3,Nothing escalated this cycle; holding pattern continues.
ACC007,2026-06-02,A. Diallo,3,Nothing escalated this cycle; holding pattern continues.
ACC008,2026-04-21,A. Diallo,1,Renewal conversation stalled; champion went quiet after escalation.
ACC008,2026-05-12,A. Diallo,1,Customer mentioned evaluating alternative vendors during QBR.
ACC008,2026-06-02,A. Diallo,1,Customer mentioned evaluating alternative vendors during QBR.
ACC009,2026-04-21,R. Mehta,3,Nothing escalated this cycle; holding pattern continues.
ACC009,2026-05-12,R. Mehta,3,Nothing escalated this cycle; holding pattern continues.
ACC009,2026-06-02,R. Mehta,4,"Onboarding of new unit went smoothly, team is engaged."
ACC010,2026-04-21,J. Rivera,4,"Onboarding of new unit went smoothly, team is engaged."
ACC010,2026-05-12,J. Rivera,4,"Onboarding of new unit went smoothly, team is engaged."
ACC010,2026-06-02,J. Rivera,4,"Onboarding of new unit went smoothly, team is engaged."
ACC011,2026-04-21,J. Rivera,2,Open ticket backlog is creating visible friction with clinicians.
ACC011,2026-05-12,J. Rivera,2,Open ticket backlog is creating visible friction with clinicians.
ACC011,2026-06-02,J. Rivera,2,Frustration with support response times raised again this week.
ACC012,2026-04-21,R. Mehta,2,Frustration with support response times raised again this week.
ACC012,2026-05-12,R. Mehta,3,Nothing escalated this cycle; holding pattern continues.
ACC012,2026-06-02,R. Mehta,3,Champion responsive but engagement is mostly transactional.
